code,name,cf_sales20161,rateofreturn20161,cf_nm20161,cf_liabilities20161,cashflowratio20161,cf_sales20162,rateofreturn20162,cf_nm20162,cf_liabilities20162,cashflowratio20162,cf_sales20163,rateofreturn20163,cf_nm20163,cf_liabilities20163,cashflowratio20163,cf_sales20164,rateofreturn20164,cf_nm20164,cf_liabilities20164,cashflowratio20164,cf_sales20171,rateofreturn20171,cf_nm20171,cf_liabilities20171,cashflowratio20171,cf_sales20172,rateofreturn20172,cf_nm20172,cf_liabilities20172,cashflowratio20172,cf_sales20173,rateofreturn20173,cf_nm20173,cf_liabilities20173,cashflowratio20173,cf_sales20174,rateofreturn20174,cf_nm20174,cf_liabilities20174,cashflowratio20174,cf_sales20181,rateofreturn20181,cf_nm20181,cf_liabilities20181,cashflowratio20181
002303,美盈森,0.0256,0.0044,0.371,0.0209,2.1854,-0.0085,-0.0029,-0.0804,-0.0162,-1.7122,0.0524,0.026000000000000002,0.4141,0.122,12.6928,0.0449,0.0207,0.4563,0.1291,13.5514,0.0263,0.003,0.28300000000000003,0.0189,1.9738,0.0123,0.003,0.1059,0.0189,1.9768,0.0826,0.0293,0.672,0.1273,13.0686,0.0924,0.0445,0.7661,0.179,18.8906,0.068,0.0078,0.5712,0.0319,3.4591
603986,兆易创新,-0.1023,,-0.8603,,,-0.0008,-0.0006,-0.0059,-0.0019,-0.2646,0.0325,0.0216,0.2339,0.1012,12.5617,0.0562,0.0501,0.4786,0.2141,26.4482,-0.0282,-0.0076,-0.1833,-0.0389,-5.1458,0.1427,0.0697,0.743,0.2806,33.4724,0.1577,0.1121,0.7046,0.4516,54.0488,0.0974,0.0768,0.4973,0.2419,35.7108,0.0679,0.0145,0.4103,0.045,6.5081
000584,哈工智能,-0.0756,-0.0041,,-0.0142,-1.5068,-0.2042,-0.0297,,-0.12300000000000001,-12.478,-0.1411,-0.0328,,-0.1323,-13.4224,-0.1037,-0.0339,,-0.1134,-11.8772,-0.0705,-0.0071,,-0.0243,-2.5487,0.147,0.025,1.6086,0.0492,6.1175,0.1513,0.0407,2.0155,0.0756,9.1394,0.2531,0.1082,3.4479,0.1998,23.7609,0.0677,0.0093,1.3871,0.0164,2.0838
000425,徐工机械,0.0808,0.0064,26.2271,0.0121,1.4918,0.066,0.0123,4.0829,0.023,2.897,0.1306,0.0356,9.2032,0.066,8.5525,0.1329,0.0511,10.3668,0.0956,11.4973,0.1153,0.0152,3.432,0.0279,3.3444,0.1153,0.0365,3.0153,0.0674,8.0202,0.1031,0.0439,2.8369,0.083,9.8372,0.1082,0.0634,3.0652,0.1226,15.0847,0.067,0.0136,1.3783,0.0253,3.0608
000887,中鼎股份,0.0666,0.0151,0.4922,0.0312,5.9943,0.0897,0.0319,0.6684,0.0794,18.8827,0.0844,0.046,0.6066,0.1201,27.999000000000002,0.1086,0.0767,0.9804,0.1738,32.3027,0.0899,0.0155,0.6809,0.0306,6.4528,0.0817,0.0303,0.6866,0.0598,14.0708,0.079,0.0417,0.636,0.0832,18.6252,0.0977,0.0749,0.9966,0.1516,32.6423,0.0667,0.0131,0.5234,0.0274,5.8347
600642,申能股份,0.124,0.0181,1.2269,0.0468,7.1026,0.1347,0.0358,1.2473,0.0898,13.727,0.1533,0.0596,1.3465,0.1548,25.7439,0.1281,0.0663,1.1432,0.1709,29.3795,0.1083,0.0175,1.445,0.0473,8.3453,0.0954,0.0273,1.26,0.0698,11.0818,0.0822,0.0357,1.0901,0.0911,15.5664,0.0751,0.045,1.1142,0.1181,19.9041,0.0667,0.0117,1.4272,0.0296,5.184
000930,中粮生化,0.0869,0.0188,,0.0254,3.7963,0.0104,0.0043,3.7139,0.0057,0.7131,0.0669,0.0457,2.4784,0.064,8.2044,0.14,0.1444,5.8891,0.2104,28.1805,0.1402,0.0383,2.6774,0.0563,7.3892,0.0906,0.0432,1.1602,0.0632,7.8694,0.1579,0.1254,3.2618,0.1886,23.5728,,,,,,0.0666,0.0203,2.103,0.03,3.7678
002566,益盛药业,0.2862,0.0219,4.0954,0.0625,6.4633,-0.0466,-0.0075,-0.7929999999999999,-0.0213,-2.2012,0.0695,0.0172,1.4026,0.0506,5.2359,-0.0187,-0.0066,-1.046,-0.0201,-2.0918,0.3463,0.0289,3.217,0.08900000000000001,9.2901,0.2269,0.0419,2.8423,0.1378,14.4231,0.2051,0.0569,2.5805,0.187,19.608,0.2616,0.102,3.2688,0.3578,37.6721,0.0664,0.0064,0.6319,0.0233,2.4608
600346,恒力股份,0.3231,0.0677,7.1042,0.0837,9.6165,-0.0324,-0.013999999999999999,-0.5204,-0.0199,-2.2087,-0.0277,-0.0191,-0.5957,-0.0265,-3.1135,0.0379,0.0371,0.6373,0.0534,6.1943,0.1279,0.0264,1.8508,0.0385,4.4396,0.0084,0.0045,0.1634,0.0065,0.7395,-0.0095,-0.0077,-0.1396,-0.0115,-1.3179,0.006999999999999999,0.0079,0.0894,0.0127,1.4551,0.0664,0.0104,0.6967,0.0144,1.8774
002922,伊戈尔,0.086,0.0209,1.2543,0.0505,5.2687,,,,,,,,,,,0.086,0.0911,1.0632,0.19399999999999998,20.0156,0.0289,,0.3956,,,0.0895,0.0515,1.1884,0.1105,11.3555,,,,,,0.055,0.0466,0.8112,0.1329,13.5876,0.0663,0.0113,11.4132,0.042,4.3339
