code,name,currentratio20161,quickratio20161,cashratio20161,icratio20161,sheqratio20161,adratio20161,currentratio20162,quickratio20162,cashratio20162,icratio20162,sheqratio20162,adratio20162,currentratio20163,quickratio20163,cashratio20163,icratio20163,sheqratio20163,adratio20163,currentratio20164,quickratio20164,cashratio20164,icratio20164,sheqratio20164,adratio20164,currentratio20171,quickratio20171,cashratio20171,icratio20171,sheqratio20171,adratio20171,currentratio20172,quickratio20172,cashratio20172,icratio20172,sheqratio20172,adratio20172,currentratio20173,quickratio20173,cashratio20173,icratio20173,sheqratio20173,adratio20173,currentratio20174,quickratio20174,cashratio20174,icratio20174,sheqratio20174,adratio20174,currentratio20181,quickratio20181,cashratio20181,icratio20181,sheqratio20181,adratio20181
300628,亿联网络,--,--,--,6476.6391,--,--,6.6888,5.9147,408.4266,-2096.5344,87.0386,12.9614,--,--,--,-2625.9019,--,--,7.861000000000001,6.9951,530.0483,-1135.6433,88.6584,11.3416,23.7802,22.9647,2085.3626,9452.14,95.957,4.043,18.8278,17.8086,330.9479,4193.3007,94.921,5.079,21.9846,20.4609,315.133,2557.0791,95.6493,4.3507,19.3083,18.0835,59.5197,2654.5175,95.0757,4.9243,26.1421,24.9686,103.1697,2200.4697,96.3633,3.6367
600212,江泉实业,3.8532,3.7909,6.1947,504242.3646,92.4843,7.5157,4.6019,4.5304,121.9077,83037.1304,93.4839,6.5161,3.0239999999999996,2.9845,113.2694,38461.3344,88.8906,11.1094,3.2194,3.1757,59.5574,39585.8591,89.7504,10.2496,4.8403,4.7556,32.8558,-48446.0127,93.3378,6.6622,7.5961,7.4798,91.6516,-1837854.7632,94.6781,5.3219,7.6370000000000005,7.5245,196.852,-56336.9846,94.6207,5.3793,6.1366,6.0567,329.1671,-13134.5497,94.8809,5.1191,8.323,8.2119,323.4438,-3258.8711,96.3048,3.6952
000416,民生控股,2.1466,2.1465,73.5623,-210.2638,63.0342,36.9658,2.2472,2.2471,73.1011,38.9094,61.162,38.838,4.9913,4.9912,245.3113,214.12900000000002,83.4523,16.5477,40.8447,40.8443,2409.6742,324.3307,98.0445,1.9555,31.3565,31.3562,1793.0503,4224.173,97.3834,2.6166,49.9387,49.9387,2894.6378,12733.2696,98.2171,1.7829,25.0062,25.0048,1596.3396,20432.5475,97.0954,2.9046,17.2055,17.2054,1067.6475,14897.4962,95.7623,4.2377,22.3531,22.3522,1330.0374,3753.2128,96.2344,3.7656
300127,银河磁体,15.0232,13.6708,355.4382,5556.4713,94.4688,5.5312,11.3198,10.0392,311.7654,-1519.4575,92.7573,7.2427,16.2654,14.3991,374.5335,-1726.6145,94.8663,5.1337,13.019,11.5164,295.6001,-824.7337,93.2768,6.7232,16.8481,14.835,398.4574,3545.045,94.7106,5.2894,14.5237,12.8905,450.7502,3289.7622,93.9216,6.0784,19.4775,17.1937,214.4345,3329.3303,95.3792,4.6208,15.7123,14.01,218.3169,3539.8432,94.5112,5.4888,22.5491,20.2202,350.1359,1394.6579,96.1313,3.8687
300656,民德电子,--,--,--,-18304.3196,--,--,--,--,--,-21634.5407,--,--,--,--,--,-9016.1871,--,--,11.2578,9.8276,832.3377,-8354.5952,90.9474,9.0526,14.1312,12.288,444.0128,40969.6048,92.7606,7.2394,31.3663,29.4668,1968.8974,29983.885,96.6968,3.3032,31.5286,29.164,572.4529,-9661.3424,96.8513,3.1487,20.8237,18.9945,116.3866,-6969.0565,95.2308,4.7692,25.9385,23.52,93.0427,2463.3698,96.0625,3.9375
300642,透景生命,--,--,--,17938.3464,--,--,--,--,--,26507.9003,--,--,--,--,--,28376.3695,--,--,6.9454,4.9806,380.9791,37329.6568,84.7662,15.2338,7.1881,5.1797,153.2441,53460.3774,85.4026,14.5974,19.3998,17.6261,1482.6797,-3868.5708,93.3409,6.6591,21.3701,19.6049,1459.4063,-2474.6316,95.3004,4.6996,23.8557,21.7277,1906.0207,-2130.5048,95.7967,4.2033,25.0579,22.3409,1594.236,-546.4378,96.0014,3.9986
603696,安记食品,22.5804,20.1917,1626.0767,-1035.8986,96.8811,3.1189,22.6834,20.0191,1717.1783,-1280.5385,96.9026,3.0974,21.332,19.0467,1537.9283,-1279.7789,96.6747,3.3253,11.3833,10.3854,806.2061,-832.5072,93.7545,6.2455,21.661,19.8695,1133.1204,-973.5658,96.6657,3.3343,19.7973,18.0487,996.3215,-870.5599,96.6021,3.3979,18.8479,17.262999999999998,933.7739999999999,-781.6447,96.4117,3.5883,11.8945,11.0477,638.6096,-649.1839,94.2163,5.7837,16.0961,15.017000000000001,817.4575,-1873.8232,95.7239,4.2761
002820,桂发祥,--,--,--,101501.8459,--,--,2.1484,2.0315,175.2877,-67761.3132,73.2995,26.7005,2.2126,2.0734,173.96099999999998,11395.4533,73.6066,26.3934,15.7245,14.9071,1395.3809,9152.5202,93.8971,6.1029,5.156000000000001,4.646,348.2435,-36337.066,94.3451,5.6549,5.3476,4.6666,346.0592,-66225.6479,94.9412,5.0588,5.6788,4.9779,371.5894,-143240.4414,94.6926,5.3074,19.0802,18.0156,1666.8441,-118739.8859,95.3493,4.6507,8.0709,7.1474,537.7846,108555.3542,95.6818,4.3182
603516,淳中科技,,,,,,,8.648,7.3772,522.6254,-37612.5443,90.4438,9.5562,,,,,,,6.6026,5.6044,385.8509,-15443.2573,88.3576,11.6424,--,--,--,-640409.0204,--,--,4.9112,3.9953,161.082,23061.7724,85.4678,14.5322,,,,,,,6.4112,5.3589,278.0009,12497.1385,88.1128,11.8872,21.4642,20.0538,482.2226,6402.1169,95.6358,4.3642
603516,淳中科技,,,,,,,8.648,7.3772,522.6254,-37612.5443,90.4438,9.5562,,,,,,,6.6026,5.6044,385.8509,-15443.2573,88.3576,11.6424,--,--,--,-640409.0204,--,--,4.9112,3.9953,161.082,23061.7724,85.4678,14.5322,,,,,,,6.4112,5.3589,278.0009,12497.1385,88.1128,11.8872,21.4642,20.0538,482.2226,6402.1169,95.6358,4.3642
