code,gailv,name
600247,0.04734227916001523,*ST成城
720,0.15731309070851063,*ST新能
300272,0.18052741563565447,开能环保
600319,0.10602866591182951,亚星化学
600671,0.0493948819707296,天目药业
717,0.6854076637873822,韶钢松山
300618,0.16553678795946788,寒锐钴业
300251,0.26993945133789954,光线传媒
600507,0.7935082039417545,方大特钢
300176,0.4379153629696977,鸿特科技
600678,0.039084859224337215,四川金顶
600423,0.043048319970601184,*ST柳化
600516,0.7139087047504067,方大炭素
2709,0.30515478945528424,天赐材料
2016,0.34627986310555947,世荣兆业
600309,0.8388214651734518,万华化学
932,0.7225902844745058,华菱钢铁
601003,0.6423387402961903,柳钢股份
600802,0.03943492960203335,福建水泥
600230,0.5355447673616607,沧州大化
2893,0.16553678795946788,华通热力
603799,0.7164125377928235,华友钴业
300571,0.16553678795946788,平治信息
2626,0.3580351189485926,金达威
600338,0.40594358436093286,西藏珠峰
600809,0.6810049194857369,山西汾酒
603595,0.16553678795946788,东尼电子
2304,0.8107603782116025,洋河股份
2027,0.48932763728749,分众传媒
603260,0.16553678795946788,合盛硅业
300107,0.10989898595398052,建新股份
2168,0.05107558245690386,深圳惠程
952,0.14102680099009146,广济药业
553,0.455974825320253,沙隆达A
300554,0.16553678795946788,三超新材
600995,0.2042573085575086,文山电力
848,0.18361512168603436,承德露露
629,0.328246556433167,*ST钒钛
2001,0.6659980188389608,新和成
600566,0.7756744589049314,济川药业
600729,0.4918028204919383,重庆百货
603027,0.15809859406883398,千禾味业
603288,0.8212469673246838,海天味业
18,0.2592446713173519,神州长城
600398,0.5330382970827654,海澜之家
2711,0.22918864825047774,欧浦智网
600779,0.3397767987346143,水井坊
600641,0.6553343664558513,万业企业
603369,0.5752621218020022,今世缘
537,0.4311902071973383,广宇发展
603103,0.3101570941510187,横店影视
300401,0.20656395829805996,花园生物
40,0.28287466010906814,东旭蓝天
735,0.1302982265195876,罗牛山
2597,0.6458361885852745,金禾实业
858,0.8211126948372949,五粮液
600519,0.8482097038448333,贵州茅台
300601,0.16553678795946788,康泰生物
600083,0.04784315748345002,博信股份
300444,0.08020352806892818,双杰电气
2460,0.6428763774154684,赣锋锂业
300174,0.04716274919452208,元力股份
596,0.7195581728522229,古井贡酒
300122,0.22533137574106923,智飞生物
603589,0.7362069307765637,口子窖
702,0.03537496065280607,正虹科技
2032,0.669214028233536,苏泊尔
2110,0.8360871827529468,三钢闽光
603156,0.16553678795946788,养元饮品
600282,0.5785682115370628,南钢股份
651,0.8074376911870347,格力电器
1979,0.7071940436714661,招商蛇口
600167,0.3672646768022132,联美控股
600887,0.6958259952220193,伊利股份
300132,0.07972449992848618,青松股份
601888,0.7709168959527224,中国国旅
2215,0.16684022048949662,诺普信
300146,0.3520072289138199,汤臣倍健
300511,0.14324734643997303,雪榕生物
568,0.8286163352778523,泸州老窖
830,0.6763053455577421,鲁西化工
600436,0.6587388025491857,片仔癀
600426,0.5820166794996856,华鲁恒升
603596,0.16553678795946788,伯特利
603596,0.16553678795946788,伯特利
603198,0.25085720537156037,迎驾贡酒
963,0.7418667312330004,华东医药
600726,0.039165949159512804,华电能源
600645,0.07952519955466843,中源协和
2120,0.673884365213631,韵达股份
46,0.3191530998834897,泛海控股
300700,0.16553678795946788,岱勒新材
2466,0.8349704470509706,天齐锂业
603568,0.3132410393227834,伟明环保
300136,0.291549523193321,信维通信
603773,0.16553678795946788,沃格光电
603773,0.16553678795946788,沃格光电
2075,0.31405469478580555,沙钢股份
2833,0.16553678795946788,弘亚数控
600681,0.37035843293914483,百川能源
672,0.3486135018625941,上峰水泥
600609,0.09710899842925531,金杯汽车
601918,0.11823639543944017,新集能源
600298,0.542781570419987,安琪酵母
895,0.7002451049667157,双汇发展
789,0.44022874799267436,万年青
600719,0.013562839412471545,大连热电
603868,0.37136873656759156,飞科电器
418,0.702657232978969,小天鹅A
603899,0.37485945089081374,晨光文具
2477,0.1730412165509941,雏鹰农牧
2555,0.5319436249521293,三七互娱
333,0.7890145337212114,美的集团
600741,0.7168393708553326,华域汽车
601801,0.26010392148658584,皖新传媒
2133,0.17809292550759973,广宇集团
300568,0.11782702515476984,星源材质
300121,0.1909940404876765,阳谷华泰
300577,0.16553678795946788,开润股份
600486,0.5575547450354376,扬农化工
885,0.3543797797466431,同力水泥
300628,0.16553678795946788,亿联网络
2294,0.5887640397119551,信立泰
2128,0.5657958949651734,露天煤业
300743,0.08693265165318721,天地数码
600857,0.013859341200889419,宁波中百
300072,0.7143877534788732,三聚环保
603113,0.16553678795946788,金能科技
603816,0.16553678795946788,顾家家居
2366,0.24861732206312442,台海核电
300081,0.06033589256452074,恒信东方
603919,0.0718344178650413,金徽酒
603444,0.16553678795946788,吉比特
2753,0.13948305415559947,永东股份
300497,0.2180553541082158,富祥股份
600201,0.3875938701939204,生物股份
600782,0.640760282251169,新钢股份
600132,0.31686940492122867,重庆啤酒
600415,0.19225824908348282,小商品城
300357,0.19530135140795138,我武生物
300529,0.25432045419167776,健帆生物
600260,0.445028456414293,凯乐科技
631,0.26596437253101757,顺发恒业
601225,0.660951456676162,陕西煤业
600216,0.2734855904056316,浙江医药
603357,0.16553678795946788,设计总院
600173,0.23791384878115676,卧龙地产
600340,0.7770256718848052,华夏幸福
600688,0.43305990335895944,上海石化
300450,0.2743549101208117,先导智能
600690,0.7378550705088132,青岛海尔
600763,0.20149740009196188,通策医疗
423,0.6686049584283122,东阿阿胶
600276,0.7836573509456081,恒瑞医药
603707,0.16553678795946788,健友股份
603707,0.16553678795946788,健友股份
785,0.22751733583136213,武汉中商
