code,name,mbrg20161,nprg20161,nav20161,targ20161,epsg20161,seg20161,mbrg20162,nprg20162,nav20162,targ20162,epsg20162,seg20162,mbrg20163,nprg20163,nav20163,targ20163,epsg20163,seg20163,mbrg20164,nprg20164,nav20164,targ20164,epsg20164,seg20164,mbrg20171,nprg20171,nav20171,targ20171,epsg20171,seg20171,mbrg20172,nprg20172,nav20172,targ20172,epsg20172,seg20172,mbrg20173,nprg20173,nav20173,targ20173,epsg20173,seg20173,mbrg20174,nprg20174,nav20174,targ20174,epsg20174,seg20174,mbrg20181,nprg20181,nav20181,targ20181,epsg20181,seg20181
601933,永辉超市,19.8094,27.7171,1.9709,-2.08,9.0909,1.8171,17.6772,26.166999999999998,1.2706,1.8444,-42.8571,1.1492,17.7181,35.3237,53.532,34.446999999999996,-37.5,53.6388,16.8154,102.264,56.6737,44.9865,-12.5,57.0092,13.7562,56.217,57.7986,43.3953,-33.3333,56.9938,15.4949,53.3107,57.052,44.8819,37.5,55.6604,17.0,63.0096,5.7728,8.2661,50.0,3.6839,19.0115,38.8019,6.0632,11.6592,35.7143,4.1473,22.9717,-10.0025,-2.477,9.1008,0.0,-3.2194
300689,澄天伟业,,,,,,,,,,,,,,,,,,,5.7265,54.6489,20.9095,22.1118,53.7037,20.9095,,,,,,,6.7801,55.4998,,,52.9412,,13.3809,41.4597,,,35.0877,,11.5584,24.2551,99.4111,69.5307,9.6386,99.4111,4.0617,-10.0502,,,-33.3333,
600061,国投资本,-64.8235,-17.0547,12.397,1.6784,-10.0,12.7913,-77.855,-47.1527,5.2294,-36.0862,-52.5,5.5927,-73.4869,-40.2019,3.862,-25.5841,-45.7143,3.8619,-77.6376,-45.1613,4.1975,-9.6228,-48.1203,4.127,-1.814,-1.8681,11.8107,12.7009,-16.6667,0.5468,17.0267,4.242,12.335,6.4403,-10.5263,0.8434,2.7708,2.8319,15.0156,15.6394,-8.7719,3.5225,38.1766,18.2209,42.7408,11.6381,-1.4493,31.9061,28.9366,-10.0513,35.1614,12.6917,-20.0,38.6999
300733,西菱动力,,,,,,,,,,,,,,,,,,,26.5466,47.3101,21.921999999999997,6.8766,48.0769,21.921999999999997,,,,,,,-2.1146,-1.2476,19.7627,1.8778,0.0,19.7627,,,,,,,-4.9641,8.92,20.7055,14.7655,9.0909,20.7055,-0.0382,-10.1588,,,-26.3158,
000009,中国宝安,52.7519,1.8531,21.1814,24.9243,-33.3333,19.8674,40.0849,-12.0836,23.2151,21.9472,-37.8378,21.6001,33.7815,-56.3419,12.4141,17.0183,-77.0492,1.5319999999999998,31.7839,-56.5708,23.4013,19.3654,-78.0,0.0116,-8.2035,-18.0963,22.476999999999997,20.5838,-22.0,1.3805,5.1792,8.4605,30.4407,29.6026,-18.913,-0.1688,16.3303,1.1364,38.5698,36.5446,-14.2857,2.4795,9.5413,-22.9413,22.2646,25.3737,-45.4545,11.7798,59.543,-10.18,20.7955,21.3554,5.1282,10.664000000000001
002673,西部证券,,-47.053000000000004,13.3304,38.4653,-72.973,13.4324,,-61.611000000000004,2.4598,-11.3975,-62.5,2.5413,,-46.4228,4.5947,-6.7393,-47.619,4.7245,,-43.4315,2.3161,-6.9588,-43.9928,2.219,,-33.5191,3.31,-4.9458,-30.0,3.1899,,-24.8367,44.6772,-1.7109,-31.2857,44.6896,,-23.2567,42.7401,4.3616,-33.3333,42.7074,,-32.2215,41.5228,-5.4262,-42.7542,41.7328,,-10.1959,40.028,2.2603,-28.5714,40.2165
603301,振德医疗,,,,,,,,,,,,,,,,,,,1.3601,4.5845,66.96,-11.5279,-31.4815,69.1286,,,,,,,,,,,,,,,,,,,26.2386,47.3344,27.8457,14.7135,45.9459,27.8381,-4.3444,-10.2333,,,-10.3448,
600756,浪潮软件,-27.1443,-18.5519,125.5696,46.2123,-22.0779,126.1461,-13.2575,10.1222,124.69,43.3181,-4.0541,125.2365,-3.3637,-19.1725,119.1365,43.541000000000004,-28.8043,119.5603,11.2592,7.3524,112.1405,70.5115,-7.6923,112.5904,72.1185,35.5834,5.6322,7.5124,16.6667,5.7209,25.1075,-33.1321,4.1242,4.1379,-38.0282,4.1936,10.7866,-26.2461,3.8464,1.0862,-30.5344,3.8994,-4.8417,8.5994,5.171,-6.3948,5.5556,5.132999999999999,-28.9107,-10.2379,4.9104,-2.5601,-14.2857,4.8705
300729,乐歌股份,,,,,,,,,,,,,,,,,,,29.5568,18.1408,36.6596,46.611000000000004,11.7647,36.6596,,,,,,,69.564,2.2243,22.518,34.9092,0.0,22.521,63.8775,5.2425,,,3.0303,,53.2872,4.5654,103.9958,68.01899999999999,0.0,103.9959,47.1073,-10.2963,,,-33.3333,
600183,生益科技,5.3744,29.541999999999998,16.0508,6.7693,37.5,16.2997,8.5914,37.8491,9.8603,6.8020000000000005,37.5,6.6991,8.8522,47.9162,10.1235,4.5676,45.8333,7.0844,12.1952,37.5648,10.3892,7.6046,36.8421,7.8975,25.6046,88.2137,12.6926,10.8058,81.8182,10.2922,24.6134,73.57,15.043,13.5949,68.1818,13.5735,26.502,64.5903,16.0836,17.4874,60.0,14.5628,25.9212,46.3683,20.9952,34.6878,42.3077,19.2341,18.8653,-10.2996,19.3087,27.7562,-15.0,17.4356
