code,name,arturnover20161,arturndays20161,inventory_turnover20161,inventory_days20161,currentasset_turnover20161,currentasset_days20161,arturnover20162,arturndays20162,inventory_turnover20162,inventory_days20162,currentasset_turnover20162,currentasset_days20162,arturnover20163,arturndays20163,inventory_turnover20163,inventory_days20163,currentasset_turnover20163,currentasset_days20163,arturnover20164,arturndays20164,inventory_turnover20164,inventory_days20164,currentasset_turnover20164,currentasset_days20164,arturnover20171,arturndays20171,inventory_turnover20171,inventory_days20171,currentasset_turnover20171,currentasset_days20171,arturnover20172,arturndays20172,inventory_turnover20172,inventory_days20172,currentasset_turnover20172,currentasset_days20172,arturnover20173,arturndays20173,inventory_turnover20173,inventory_days20173,currentasset_turnover20173,currentasset_days20173,arturnover20174,arturndays20174,inventory_turnover20174,inventory_days20174,currentasset_turnover20174,currentasset_days20174,arturnover20181,arturndays20181,inventory_turnover20181,inventory_days20181,currentasset_turnover20181,currentasset_days20181
300330,华虹计通,0.1667,539.8919999999999,0.5622,160.0854,0.0701,1283.8802,0.4215,427.0463,1.8689,96.3133,0.1833,981.9967,0.6177,437.1054,0.29600000000000004,912.1622,0.2583,1045.2962,0.8140000000000001,442.2604,3.1499,114.2893,0.3268,1101.5912,0.2118,424.9292,0.6802,132.314,0.08,1125.0,0.4747,379.1869,1.4136,127.3345,0.1897,948.8666,0.846,319.1489,3.0559,88.3537,0.3753,719.4245,1.3774,261.362,4.6407,77.5745,0.5676,634.2495,0.1673,537.9558,0.5636,159.6877,0.0793,1134.9306
002225,濮耐股份,0.2542,354.0519,0.4042,222.662,0.1484,606.469,0.541,332.7172,0.9162,196.4637,0.3211,560.573,0.8293,325.5758,1.3864,194.74900000000002,0.4819,560.2822,1.1586,310.7198,1.8459,195.0268,0.6621,543.7245,0.2982,301.8109,0.4599,195.6947,0.1634,550.7956,0.6581,273.5147,0.9637,186.7801,0.3464,519.6305,1.0891,247.9111,1.4343,188.2451,0.5579999999999999,483.871,1.5955,225.6346,2.0015,179.8651,0.8137,442.4235,0.5405,166.5125,0.5636,159.6877,0.2458,366.1513
300027,华谊兄弟,0.4734,190.1141,0.4035,223.0483,0.0968,929.7521,0.9896,181.8917,0.8140000000000001,221.1302,0.1971,913.242,1.3847,194.9881,1.1521,234.3547,0.2665,1013.1332,2.2352,161.0594,2.3890000000000002,150.6907,0.436,825.6881,0.3929,229.0659,0.445,202.2472,0.0665,1353.3835,1.0522,171.0701,0.7574,237.6551,0.1736,1036.8664,1.5826,170.6053,1.4697,183.71099999999998,0.2789,968.0889,2.5128,143.2665,2.369,151.9629,0.4538,793.301,0.8649,104.0583,0.5633,159.7728,0.1588,566.7506
002571,德力股份,0.6937,129.7391,0.515,174.7573,0.1793,501.952,1.5389,116.9667,1.2384,145.3488,0.4042,445.3241,2.3481,114.9866,1.8792,143.6782,0.6571,410.8964,3.4308,104.9318,2.7665,130.1283,0.9402,382.8973,0.7245,124.2236,0.5299,169.8434,0.2157,417.2462,1.5961,112.7749,1.1728,153.4789,0.4765,377.7545,2.5091,107.6083,1.8517,145.812,0.7663,352.3424,3.5011,102.8248,2.5860000000000003,139.2111,0.9990000000000001,360.3604,0.8122,110.8101,0.5624,160.0284,0.2405,374.2204
600718,东软集团,0.675,133.3333,0.6629999999999999,135.7466,0.2047,439.6678,1.4328,125.6281,1.3303,135.3078,0.4352,413.6029,2.6555,101.6758,2.1787,123.9271,0.7440000000000001,362.9032,4.2944,83.8301,4.4807,80.3446,1.1107,324.1199,0.8075,111.4551,0.6155,146.2226,0.19699999999999998,456.8528,1.8957,94.9517,1.2569,143.2095,0.4415,407.70099999999996,2.9056,92.92399999999999,1.7990000000000002,150.0834,0.6649,406.0761,4.6604,77.2466,4.4972,80.0498,1.1355,317.041,0.7117,126.4578,0.5621,160.1139,0.2119,424.7286
603603,博天环境,0.3113,289.1102,0.2137,421.1511,0.1051,856.3273,1.3032,138.1215,1.4548,123.7283,0.5607,321.0273,,,,,,,2.4859999999999998,144.8109,2.5818,139.4376,0.9068,397.0004,0.3269,275.3136,0.2794,322.1188,0.1161,775.1938,0.7525,239.2027,0.7153,251.6427,0.2711,663.9616,1.255,215.1394,1.0754,251.0694,0.4103,658.0551,1.9718,182.5743,3.1217,115.3218,0.802,448.8778,0.3587,250.90599999999998,0.5619,160.1708,0.1514,594.4518
000962,东方钽业,0.5364,167.7852,0.3254,276.5827,0.1332,675.6757,1.157,155.5748,0.6985,257.6951,0.2763,651.4658,1.8433,146.4764,1.2255,220.3182,0.4871,554.3009999999999,2.9899,120.4054,1.671,215.4399,0.6232,577.6637,1.0981,81.9597,0.5737,156.8764,0.1881,478.4689,2.0107,89.5211,1.1481,156.7808,0.408,441.1765,3.1416,85.9435,1.7849,151.269,0.6047,446.5024,4.646,77.486,2.1757,165.46400000000003,0.8031,448.26300000000003,1.3324,67.5473,0.5612,160.3706,0.2469,364.52
300559,佳发安泰,,,,,,,0.9547,188.5409,1.3341,134.9224,0.384,468.75,1.2516,215.7239,1.9812,136.281,0.5096,529.8273,2.1336,168.7289,3.1244,115.2221,0.4542,792.6024,0.2297,391.8154,0.4824,186.5672,0.0331,2719.0332,0.9636,186.7995,1.8183,98.9936,0.1488,1209.6774,1.3833,195.1854,2.1281,126.8737,0.1942,1390.3193,2.4586,146.4248,3.6062,99.8281,0.3512,1025.0569,0.4461,201.7485,0.561,160.4278,0.0683,1317.7160000000001
300448,浩云科技,0.5648,159.3484,0.723,124.4813,0.1381,651.7017,0.9026,199.4239,1.0129,177.7076,0.2245,801.7817,1.6042,168.3082,2.2699,118.948,0.5401,499.9074,3.2345,111.3,3.4537,104.236,0.8869,405.9082,0.3204,280.8989,0.4757,189.1949,0.1285,700.3891,0.8031,224.1315,1.0197,176.5225,0.3337,539.4067,1.2321,219.1381,1.4937,180.7592,0.4142,651.859,2.5089,143.4892,2.5164,143.0615,0.7482,481.1548,0.4765,188.8772,0.5608,160.485,0.1397,644.2377
002198,嘉应制药,0.5806,155.0121,0.529,170.1323,0.2546,353.4957,1.3245,135.9003,0.8844,203.5278,0.5695,316.0667,2.1307,126.7189,1.364,197.9472,0.9051,298.3096,3.0533,117.9052,2.1924,164.2036,1.3964,257.8058,0.5738,156.8491,0.4589,196.1212,0.2261,398.05400000000003,1.3657,131.8005,0.9641,186.7026,0.5302,339.4945,2.1114,127.8772,1.3746,196.4208,0.8506,317.423,3.1072,115.8599,2.2427,160.5208,1.2951,277.9708,0.7089,126.9573,0.5608,160.485,0.2568,350.4673
